IDAtributoQuestionario;IDIndicadorEspecificoQuestionario;DSAtributoQuestionario;NOAtributoQuestionario;NRPeso
6242;1379;Entre 50% e 75% (50% = e < 75%) dos terminais arrendados realizaram auditoria ambiental dentro do prazo dos dois últimos anos.;N3;0,126856262
6243;1379;Entre 25% e 50% (25% = e < 50%) dos terminais arrendados realizaram auditoria ambiental dentro do prazo dos dois últimos anos.;N2;0,032079518
6244;1379;Menos de 25% dos terminais arrendados realizaram auditoria ambiental dentro do prazo dos dois últimos anos.;N1;0
6245;1380;Todos os terminais arrendados (100%) possuem seus respectivos planos de gerenciamento de resíduos sólidos.;N5;1,020759603
6246;1380;Entre 75% e 100% (75% = e < 100%) dos terminais arrendados possuem seus respectivos planos de gerenciamento de resíduos sólidos.;N4;0,541042143
6247;1380;Entre 50% e 75% (50% = e < 75%) dos terminais arrendados possuem seus respectivos planos de gerenciamento de resíduos sólidos.;N3;0,186777668
6248;1380;Entre 25% e 50% (25% = e < 50%) dos terminais arrendados possuem seus respectivos planos de gerenciamento de resíduos sólidos.;N2;0,047232494
6249;1380;Menos de 25% dos terminais arrendados possuem seus respectivos planos de gerenciamento de resíduos sólidos.;N1;0
6250;1381;Todos os terminais arrendados (100%) possuem pelo menos duas certificações.;N5;0,31872266
6251;1381;Entre 75% e 100% (75% = e < 100%) dos terminais arrendados possuem pelo menos duas certificações.;N4;0,16893536
6252;1381;Entre 50% e 75% (50% = e < 75%) dos terminais arrendados possuem pelo menos duas certificações.;N3;0,058319584
6253;1381;Entre 25% e 50% (25% = e < 50%) dos terminais arrendados possuem pelo menos duas certificações.;N2;0,014747905
6254;1381;Menos de 25% dos terminais arrendados possuem pelo menos duas certificações.;N1;0
6255;1382;Todos os terminais arrendados (100%) desenvolvem programas de educação ambiental.;N5;0,654266288
6256;1382;Entre 75% e 100% (75% = e < 100%) dos terminais arrendados desenvolvem programas de educação ambiental.;N4;0,346786485
6257;1382;Entre 50% e 75% (50% = e < 75%) dos terminais arrendados desenvolvem programas de educação ambiental.;N3;0,119717053
6258;1382;Entre 25% e 50% (25% = e < 50%) dos terminais arrendados desenvolvem programas de educação ambiental.;N2;0,030274149
6259;1382;Menos de 25% dos terminais arrendados desenvolvem programas de educação ambiental.;N1;0
6260;1383;Atende quatro as opções listadas.;N5;4,956450125
6261;1383;Atende três  das opções listadas.;N4;2,552180338
6262;1383;Atende duas das opções listadas.;N3;1,17
6263;1383;Atende uma das opções listadas.;N2;0,41
6264;1383;Não atende qualquer das opções listadas.;N1;0
6266;1384;Realizou quatro ou mais ações de promoção de saúde no último ano e publicou sua Política de Saúde e Segurança.;N5;0,826075021
6267;1384;Realizou três ações de promoção de saúde no último ano.;N4;0,47595551
6268;1384;Realizou duas ações de promoção de saúde no último ano.;N3;0,261427403
6269;1384;Realizou uma ação de promoção de saúde no último ano.;N2;0,075657941
6270;1384;Não realizou qualquer ação de promoção de saúde no último ano.;N1;0
6271;1385;Atende todas as opções listadas.;N5;1,652150042
6272;1385;Atende três das opções listadas.;N4;1,02
6273;1385;Atende duas das opções listadas.;N3;0,41
6274;1385;Atende uma das opções listadas.;N2;0,11
6275;1385;Não atende nenhuma das opções listadas.;N1;0
6277;1386;A instalação portuária executa um programa de monitoramento contínuo ou periódico da qualidade da água e possui o registro sistematizado das informações na forma de um banco de dados.;N5;2,463109649
6278;1386;A instalação portuária executa um programa de monitoramento contínuo ou periódico da qualidade da água, mas não possui o banco de dados;N4;0,823647994
6279;1386;A instalação portuária apenas promove estudos ou levantamentos esporádicos da qualidade da água para atender o licenciamento de obras específicas (dragagens, ampliações, novas estruturas).;N3;0,38227129
6280;1386;Não faz monitoramento ou promove estudos, mas possui dados secundários gerados por terceiros sem qualquer vínculo com a instalação portuária.;N2;0,132375982
6281;1386;A instalação portuária não conhece ou dispõe de qualquer informação sobre a qualidade da água do corpo hídrico.;N1;0
6282;1387;Atende N4 e o sistema de drenagem possui mecanismos de controle de poluição e/ou tratamento de efluentes (ex: gradeamento, tanque ou bacia de decantação, separador de água e óleo, estação de tratamento).;N5;0,404970051
6283;1387;Atende a opção N3 e realiza monitoramento da qualidade das águas pluviais.;N4;0,247696378
6284;1387;Atende a opção N2 e o porto possui planta atualizada do sistema de drenagem.;N3;0,156624752
6285;1387;Toda a área da instalação é atendida por sistema de drenagem de águas pluviais.;N2;0,068742829
6286;1387;Não atende qualquer uma das situações acima.;N1;0
6287;1388;Atende N2, além de possuir acompanhamento do consumo e indicadores de eficiência.;N3;0,998742028
6288;1388;Há pelo menos duas ações de redução ou reuso.;N2;0,232161534
6289;1388;Há apenas uma ou nenhuma ação de redução ou reuso.;N1;0
6290;1389;A instalação portuária nunca teve passivos ambientais ou teve passivos ambientais que já foram remediados.;N5;2,470679079
6291;1389;A instalação portuária realizou remediação parcial dos passivos existentes ou a remediação ainda está em curso.;N4;1,36965767
6292;1389;A instalação portuária realizou diagnóstico dos passivos ambientais, mas não tomou medidas de remediação.;N3;0,432806917
6293;1389;A instalação portuária contratou estudos ou tem diagnóstico de passivos em curso.;N2;0,144366684
6294;1389;A instalação portuária nunca fez diagnóstico de passivos ambientais.;N1;0
6295;1390;Atende todas as opções.;N5;1,101805927
6296;1390;Atende três das opções listadas (especificar).;N4;0,368436802
6297;1390;Atende duas das opções listadas (especificar).;N3;0,170998791
6298;1390;Atende uma das opções listadas (especificar).;N2;0,059214839
6299;1390;Não atende nenhuma das opções listadas.;N1;0
6301;1391;Foi feito inventário (ou mapa) com identificação das fontes e respectivos níveis de ruído e há monitoramento periódico.;N3;0,367268642
6302;1391;Foi feito inventário (ou mapa) com identificação das fontes e respectivos níveis de ruído, mas não há monitoramento periódico.;N2;0,106424822
6303;1391;Não atende a nenhuma das opções anteriores.;N1;0
6305;1392;A instalação portuária atende todas as opções listadas.;N5;7,964752347
6306;1392;Atende três das opções listadas.;N4;4,589011489
6307;1392;Atende duas das opções listadas.;N3;2,52059979
6308;1392;Atende uma das opções listadas.;N2;0,72946978
6309;1392;Não atende nenhuma das opções listadas.;N1;0
6310;1393;"Foi realizado o levantamento da biota (terrestre e aquática) E há  monitoramento de bioindicadores. ";N3;0,978458281
6311;1393;Foi realizado o levantamento da biota (terrestre e aquática) OU há monitoramento de bioindicadores.;N2;0,25785511
6312;1393;Não atende a nenhuma das opções anteriores.;N1;0
6313;1394;Atende N4 e ao final de cada trimestre, a instalação entrega à autoridade sanitária relatório descritivo das atividades de controle e monitoramento realizadas.;N5;2,935374843
6314;1394;A instalação portuária mantém atualizado o programa.;N4;1,691260229
6315;1394;A instalação portuária implantou o programa.;N3;0,928956092
6316;1394;A instalação portuária elaborou o programa, porém ainda não o implantou.;N2;0,268842915
6317;1394;A instalação portuária não elaborou o programa.;N1;0
6318;1395;Atende N2, realiza monitoramentos regulares e, em caso de presença de espécie exóticas/invasoras,  adota ações de controle e combate desses organismos.;N3;0,978458281
6319;1395;A instalação portuária já realizou levantamento de espécies aquáticas, procurando inclusive verificar a ocorrência de espécies exóticas/invasoras.;N2;0,356035959
6320;1395;A instalação ainda não realizou levantamento de espécies aquáticas exóticas/invasoras.;N1;0
6321;1396;A instalação portuária possui licença de operação válida e vigente, ou apresentou solicitação de renovação da licença dentro do prazo previsto pelo órgão ambiental.;N3;15,07224371
6322;1396;A instalação portuária ainda não possui licença de operação vigente, mas existe processo de licenciamento para regularização (o empreendedor já entregou ao órgão licenciador o estudo ambiental exigido e está aguardando manifestação do mesmo), ou entrou com pedido de renovação fora do prazo previsto.;N2;2,897060654
6323;1396;A instalação portuária não possui licença de operação vigente, nem entrou com pedido de licenciamento ou renovação.;N1;0
6328;1397;Acima do número mínimo de profissionais no Núcleo Ambiental.;N3;4,23787275
6329;1397;Possui o número mínimo de profissionais no Núcleo Ambiental.;N2;2,305298777
6330;1397;Abaixo do número mínimo de profissionais no Núcleo Ambiental.;N1;0
6331;1398;Mais de 50% dos funcionários participaram de treinamento/capacitação.;N3;2,090917833
6332;1398;Menos de 50% dos funcionários participaram de treinamento/capacitação.;N2;0,551023849
6333;1398;Não participaram de treinamento/capacitação ou não foi atingido o mínimo de horas/pessoa.;N1;0
6335;1399;A auditoria ambiental foi realizada até dois anos atrás.;N3;6,440173894
6336;1399;A auditoria ambiental foi realizada há mais de dois anos atrás.;N2;1,697192185
6337;1399;Nunca foi realizada auditoria ambiental.;N1;0
6338;1400;Existe banco de dados com atualização mínima semestral.;N3;1,965496457
6339;1400;Existe banco de dados, mas não há atualização mínima semestral.;N2;0,517971297
6340;1400;Não existe banco de dados.;N1;0
6341;1401;Atende todos os planos/programas listados abaixo.;N5;13,15768092
6342;1401;Atende quatro dos planos/programas listados abaixo.;N4;7,580995149
6343;1401;Atende três dos planos/programas listados abaixo.;N3;4,164002384
6344;1401;Atende dois dos planos/programas listados abaixo.;N2;1,205075837
6345;1401;Atende um dos planos/programas listados abaixo.;N1;0
6347;1402;Nenhum acidente ambiental ocorrido no último período de avaliação;N5;4,404092577
6348;1402;Categoria 4 - na matriz de acidentes ambientais;N4;1,62621382
6349;1402;Categoria 3 - na matriz de acidentes ambientais;N3;0,907212364
6350;1402;Categoria 2 - na matriz de acidentes ambientais;N2;0,191263223
6351;1402;Categoria 1 - na matriz de acidentes ambientais;N1;0
6352;1403;Atende todas as opções listadas.;N5;7,37
6353;1403;Atende ao item A e mais duas das opções listadas (B, C ou D).;N4;4,246304088
6354;1403;Atende ao item A e mais uma das opções listadas (B, C ou D).;N3;2,332361385
6355;1403;Atende ao item A.;N2;0,674992973
6356;1403;Não atende ao quesito retirada de resíduos dos navios na instalação portuária.;N1;0
6358;1404;Atende todas as ações listadas.;N5;3,684972301
6359;1404;Atende três das ações listadas.;N4;2,123152044
6360;1404;Atende duas das ações listadas.;N3;1,166180692
6361;1404;Atende uma das ações listadas.;N2;0,337496487
6362;1404;Não atende nenhuma das ações listadas.;N1;0
6365;1405;Atende todas as opções listadas.;N3;1,773439708
6366;1405;Atende duas das opções listadas.;"N2 ";0,65
6367;1405;Não atende qualquer das opções listadas.;N1;0
6368;1406;Sim, utilizada em atividades operacionais e administrativas.;N3;0,53062068
6369;1406;Sim, utilizada somente em atividades administrativas.;N2;0,193079303
6370;1406;Não há geração de energia limpa e renovável pela instalação portuária.;N1;0
6371;1407;Dispõe de sistema OPS.;N3;0,211685277
6372;1407;Realizou estudo de viabilidade para implantação de um sistema OPS.;N2;0,087405917
6373;1407;Não possui sistema OPS.;N1;0
6374;1408;Atende quatro ou mais das opções listadas.;N5;7,179028756
6375;1408;Atende três das opções listadas.;N4;3,7
6376;1408;Atende duas das opções listadas.;N3;1,69
6377;1408;Atende uma das opções listadas.;N2;0,59
6378;1408;Não atende nenhuma das opções listadas.;N1;0
6380;1409;Atende ao N4 e possui adequada estruturação dos dados e facilidade de acesso.;N5;0,364069808
6381;1409;Mais de 23 dos itens listados.;N4;0,246927647
6382;1409;De 18 a 23 dos itens listados.;N3;0,10785806
6383;1409;De 12 a 17 dos itens listados.;N2;0,034126117
6384;1409;Até 11 dos itens listados.;N1;0
6385;1410;Há agenda ambiental local e há ações de implantação pela instalação portuária.;N3;1,783570522
6386;1410;Há agenda ambiental local, mas não há ações de implantação pela instalação portuária.;N2;0,238245778
6387;1410;Não foi elaborada agenda ambiental local.;N1;0
6388;1411;Há agenda ambiental institucional e há ações de implantação.;N3;0,958285627
6389;1411;Há agenda ambiental institucional, mas não há ações de implantação.;N2;0,128005875
6390;1411;Não foi elaborada agenda ambiental institucional.;N1;0
6391;1412;A instalação portuária possui duas ou mais certificações voluntárias.;N5;0,677610265
6392;1412;A instalação portuária possui uma certificação voluntária.;N4;0,259181098
6393;1412;Há certificação voluntária em processo de desenvolvimento.;N3;0,072105206
6394;1412;Há planejamento formal para requisição de certificação voluntária.;N2;0,027957791
6395;1412;Não atende a nenhuma das opções acima.;N1;0
6396;1413;Atende quatro as opções listadas.;N5;4,956450125
6397;1413;Atende três  das opções listadas.;N4;2,552180338
6398;1413;Atende duas das opções listadas.;N3;1,17
6399;1413;Atende uma das opções listadas.;N2;0,41
6400;1413;Não atende qualquer das opções listadas.;N1;0
6402;1414;Realizou quatro ou mais ações de promoção de saúde no último ano e publicou sua Política de Saúde e Segurança.;N5;0,826075021
6403;1414;Realizou três ações de promoção de saúde no último ano.;N4;0,47595551
6404;1414;Realizou duas ações de promoção de saúde no último ano.;N3;0,261427403
6405;1414;Realizou uma ação de promoção de saúde no último ano.;N2;0,075657941
6406;1414;Não realizou qualquer ação de promoção de saúde no último ano.;N1;0
6407;1415;Atende todas as opções listadas.;N5;1,65
6408;1415;Atende três das opções listadas.;N4;1,02
6409;1415;Atende duas das opções listadas.;N3;0,41
6410;1415;Atende uma das opções listadas.;N2;0,11
6411;1415;Não atende nenhuma das opções listadas.;N1;0
6413;1416;A instalação portuária executa um programa de monitoramento contínuo ou periódico da qualidade da água e possui o registro sistematizado das informações na forma de um banco de dados.;N5;2,47
6414;1416;A instalação portuária executa um programa de monitoramento contínuo ou periódico da qualidade da água, mas não possui o banco de dados;N4;0,82
6415;1416;A instalação portuária apenas promove estudos ou levantamentos esporádicos da qualidade da água para atender o licenciamento de obras específicas (dragagens, ampliações, novas estruturas).;N3;0,38
6416;1416;Não faz monitoramento ou promove estudos, mas possui dados secundários gerados por terceiros sem qualquer vínculo com a instalação portuária.;N2;0,13
6417;1416;A instalação portuária não conhece ou dispõe de qualquer informação sobre a qualidade da água do corpo hídrico.;N1;0
6418;1417;Atende N4 e o sistema de drenagem possui mecanismos de controle de poluição e/ou tratamento de efluentes (ex: gradeamento, tanque ou bacia de decantação, separador de água e óleo, estação de tratamento).;N5;0,404970051
6419;1417;Atende a opção N3 e realiza monitoramento da qualidade das águas pluviais.;N4;0,247696378
6420;1417;Atende a opção N2 e o porto possui planta atualizada do sistema de drenagem.;N3;0,156624752
6421;1417;Toda a área da instalação é atendida por sistema de drenagem de águas pluviais.;N2;0,068742829
6422;1417;Não atende qualquer uma das situações acima.;N1;0
6423;1418;Atende N2, além de possuir acompanhamento do consumo e indicadores de eficiência.;N3;0,998742028
6424;1418;Há pelo menos duas ações de redução ou reuso.;N2;0,232161534
6425;1418;Há apenas uma ou nenhuma ação de redução ou reuso.;N1;0
6426;1419;A instalação portuária nunca teve passivos ambientais ou teve passivos ambientais que já foram remediados.;N5;2,470679079
6427;1419;A instalação portuária realizou remediação parcial dos passivos existentes ou a remediação ainda está em curso.;N4;1,36965767
6428;1419;A instalação portuária realizou diagnóstico dos passivos ambientais, mas não tomou medidas de remediação.;N3;0,432806917
6429;1419;A instalação portuária contratou estudos ou tem diagnóstico de passivos em curso.;N2;0,144366684
6430;1419;A instalação portuária nunca fez diagnóstico de passivos ambientais.;N1;0
6431;1420;Atende todas as opções.;N5;1,101805927
6432;1420;Atende três das opções listadas (especificar).;N4;0,368436802
6433;1420;Atende duas das opções listadas (especificar).;N3;0,170998791
6434;1420;Atende uma das opções listadas (especificar).;N2;0,059214839
6435;1420;Não atende nenhuma das opções listadas.;N1;0
6437;1421;Foi feito inventário (ou mapa) com identificação das fontes e respectivos níveis de ruído e há monitoramento periódico.;N3;0,367268642
6438;1421;Foi feito inventário (ou mapa) com identificação das fontes e respectivos níveis de ruído, mas não há monitoramento periódico.;N2;0,106424822
6439;1421;Não atende a nenhuma das opções anteriores.;N1;0
6441;1422;A instalação portuária atende todas as opções listadas.;N5;7,964752347
6442;1422;Atende três das opções listadas.;N4;4,589011489
6443;1422;Atende duas das opções listadas.;N3;2,52059979
6444;1422;Atende uma das opções listadas.;N2;0,72946978
6445;1422;Não atende nenhuma das opções listadas.;N1;0
6446;1423;"Foi realizado o levantamento da biota (terrestre e aquática) E há  monitoramento de bioindicadores. ";N3;0,978458281
6447;1423;Foi realizado o levantamento da biota (terrestre e aquática) OU há monitoramento de bioindicadores.;N2;0,25785511
6448;1423;Não atende a nenhuma das opções anteriores.;N1;0
6449;1424;Atende N4 e ao final de cada trimestre, a instalação entrega à autoridade sanitária relatório descritivo das atividades de controle e monitoramento realizadas.;N5;2,935374843
6450;1424;A instalação portuária mantém atualizado o programa.;N4;1,691260229
6451;1424;A instalação portuária implantou o programa.;N3;0,928956092
6452;1424;A instalação portuária elaborou o programa, porém ainda não o implantou.;N2;0,268842915
6453;1424;A instalação portuária não elaborou o programa.;N1;0
6454;1425;Atende N2, realiza monitoramentos regulares e, em caso de presença de espécie exóticas/invasoras,  adota ações de controle e combate desses organismos.;N3;0,978458281
6455;1425;A instalação portuária já realizou levantamento de espécies aquáticas, procurando inclusive verificar a ocorrência de espécies exóticas/invasoras.;N2;0,356035959
6456;1425;A instalação ainda não realizou levantamento de espécies aquáticas exóticas/invasoras.;N1;0
6457;1426;A instalação portuária possui licença de operação válida e vigente, ou apresentou solicitação de renovação da licença dentro do prazo previsto pelo órgão ambiental.;N3;15,07224371
6458;1426;A instalação portuária ainda não possui licença de operação vigente, mas existe processo de licenciamento para regularização (o empreendedor já entregou ao órgão licenciador o estudo ambiental exigido e está aguardando manifestação do mesmo), ou entrou com pedido de renovação fora do prazo previsto.;N2;2,897060654
6459;1426;A instalação portuária não possui licença de operação vigente, nem entrou com pedido de licenciamento ou renovação.;N1;0
6464;1427;Acima do número mínimo de profissionais no Núcleo Ambiental.;N3;4,23787275
6465;1427;Possui o número mínimo de profissionais no Núcleo Ambiental.;N2;2,305298777
6466;1427;Abaixo do número mínimo de profissionais no Núcleo Ambiental.;N1;0
6467;1428;Mais de 50% dos funcionários participaram de treinamento/capacitação.;N3;2,090917833
6468;1428;Menos de 50% dos funcionários participaram de treinamento/capacitação.;N2;0,551023849
6469;1428;Não participaram de treinamento/capacitação ou não foi atingido o mínimo de horas/pessoa.;N1;0
6471;1429;A auditoria ambiental foi realizada até dois anos atrás.;N3;6,440173894
6472;1429;A auditoria ambiental foi realizada há mais de dois anos atrás.;N2;1,697192185
6473;1429;Nunca foi realizada auditoria ambiental.;N1;0
6474;1430;Existe banco de dados com atualização mínima semestral.;N3;1,965496457
6475;1430;Existe banco de dados, mas não há atualização mínima semestral.;N2;0,517971297
6476;1430;Não existe banco de dados.;N1;0
6477;1431;Atende todos os planos/programas listados abaixo.;N5;13,15768092
6478;1431;Atende quatro dos planos/programas listados abaixo.;N4;7,580995149
6479;1431;Atende três dos planos/programas listados abaixo.;N3;4,164002384
6480;1431;Atende dois dos planos/programas listados abaixo.;N2;1,205075837
6481;1431;Atende um dos planos/programas listados abaixo.;N1;0
6483;1432;Nenhum acidente ambiental ocorrido no último período de avaliação;N5;4,404092577
6484;1432;Categoria 4 - na matriz de acidentes ambientais;N4;1,62621382
6485;1432;Categoria 3 - na matriz de acidentes ambientais;N3;0,907212364
6486;1432;Categoria 2 - na matriz de acidentes ambientais;N2;0,191263223
6487;1432;Categoria 1 - na matriz de acidentes ambientais;N1;0
6488;1433;Atende todas as opções listadas.;N5;11,05
6489;1433;Atende ao item A e mais duas das opções listadas (B, C ou D).;N4;6,369456131
6490;1433;Atende ao item A e mais uma das opções listadas (B, C ou D).;N3;3,498542077
6491;1433;Atende ao item A.;N2;1,01248946
6492;1433;Não atende ao quesito retirada de resíduos dos navios na instalação portuária.;N1;0
6495;1434;Atende todas as opções listadas.;N3;1,773439708
6496;1434;Atende duas das opções listadas.;"N2 ";0,65
6497;1434;Não atende qualquer das opções listadas.;N1;0
6498;1435;Sim, utilizada em atividades operacionais e administrativas.;N3;0,53062068
6499;1435;Sim, utilizada somente em atividades administrativas.;N2;0,193079303
6500;1435;Não há geração de energia limpa e renovável pela instalação portuária.;N1;0
6501;1436;Dispõe de sistema OPS.;N3;0,211685277
6502;1436;Realizou estudo de viabilidade para implantação de um sistema OPS.;N2;0,087405917
6503;1436;Não possui sistema OPS.;N1;0
6504;1437;Atende quatro ou mais das opções listadas.;N5;7,179028756
6505;1437;Atende três das opções listadas.;N4;3,7
6506;1437;Atende duas das opções listadas.;N3;1,69
6507;1437;Atende uma das opções listadas.;N2;0,59
6508;1437;Não atende nenhuma das opções listadas.;N1;0
6510;1438;Atende ao N4 e possui adequada estruturação dos dados e facilidade de acesso.;N5;0,364069808
6511;1438;Mais de 23 dos itens listados.;N4;0,246927647
6512;1438;De 18 a 23 dos itens listados.;N3;0,10785806
6513;1438;De 12 a 17 dos itens listados.;N2;0,034126117
6514;1438;Até 11 dos itens listados.;N1;0
6515;1439;Há agenda ambiental local e há ações de implantação pela instalação portuária.;N3;1,783570522
6516;1439;Há agenda ambiental local, mas não há ações de implantação pela instalação portuária.;N2;0,238245778
6517;1439;Não foi elaborada agenda ambiental local.;N1;0
6518;1440;Há agenda ambiental institucional e há ações de implantação.;N3;0,958285627
6519;1440;Há agenda ambiental institucional, mas não há ações de implantação.;N2;0,128005875
6520;1440;Não foi elaborada agenda ambiental institucional.;N1;0
6521;1441;A instalação portuária possui duas ou mais certificações voluntárias.;N5;0,677610265
6522;1441;A instalação portuária possui uma certificação voluntária.;N4;0,259181098
6523;1441;Há certificação voluntária em processo de desenvolvimento.;N3;0,072105206
6524;1441;Há planejamento formal para requisição de certificação voluntária.;N2;0,027957791
6525;1441;Não atende a nenhuma das opções acima.;N1;0
6526;1442;Atende quatro as opções listadas.;N5;4,956450125
6527;1442;Atende três  das opções listadas.;N4;2,552180338
6528;1442;Atende duas das opções listadas.;N3;1,17
6529;1442;Atende uma das opções listadas.;N2;0,41
6530;1442;Não atende qualquer das opções listadas.;N1;0
6532;1443;Realizou quatro ou mais ações de promoção de saúde no último ano e publicou sua Política de Saúde e Segurança.;N5;0,826075021
6533;1443;Realizou três ações de promoção de saúde no último ano.;N4;0,47595551
6534;1443;Realizou duas ações de promoção de saúde no último ano.;N3;0,261427403
6535;1443;Realizou uma ação de promoção de saúde no último ano.;N2;0,075657941
6536;1443;Não realizou qualquer ação de promoção de saúde no último ano.;N1;0
6537;1444;Atende todas as opções listadas.;N5;1,652150042
6538;1444;Atende três das opções listadas.;N4;1,02
6539;1444;Atende duas das opções listadas.;N3;0,41
6540;1444;Atende uma das opções listadas.;N2;0,11
6541;1444;Não atende nenhuma das opções listadas.;N1;0
6543;1445;A instalação portuária executa um programa de monitoramento contínuo ou periódico da qualidade da água e possui o registro sistematizado das informações na forma de um banco de dados.;N5;2,463109649
6544;1445;A instalação portuária executa um programa de monitoramento contínuo ou periódico da qualidade da água, mas não possui o banco de dados;N4;0,823647994
6545;1445;A instalação portuária apenas promove estudos ou levantamentos esporádicos da qualidade da água para atender o licenciamento de obras específicas (dragagens, ampliações, novas estruturas).;N3;0,38227129
6546;1445;Não faz monitoramento ou promove estudos, mas possui dados secundários gerados por terceiros sem qualquer vínculo com a instalação portuária.;N2;0,132375982
6547;1445;A instalação portuária não conhece ou dispõe de qualquer informação sobre a qualidade da água do corpo hídrico.;N1;0
6548;1446;Atende N4 e o sistema de drenagem possui mecanismos de controle de poluição e/ou tratamento de efluentes (ex: gradeamento, tanque ou bacia de decantação, separador de água e óleo, estação de tratamento).;N5;0,404970051
6549;1446;Atende a opção N3 e realiza monitoramento da qualidade das águas pluviais.;N4;0,247696378
6550;1446;Atende a opção N2 e o porto possui planta atualizada do sistema de drenagem.;N3;0,156624752
6551;1446;Toda a área da instalação é atendida por sistema de drenagem de águas pluviais.;N2;0,068742829
6552;1446;Não atende qualquer uma das situações acima.;N1;0
6553;1447;Atende N2, além de possuir acompanhamento do consumo e indicadores de eficiência.;N3;0,998742028
6554;1447;Há pelo menos duas ações de redução ou reuso.;N2;0,232161534
6555;1447;Há apenas uma ou nenhuma ação de redução ou reuso.;N1;0
6556;1448;Há monitoramento ambiental da área dragada e da área de disposição;N3;1,235339539
6557;1448;Há monitoramento ambiental da área dragada ou da área de disposição.;N2;0,449508483
6558;1448;Não há monitoramento ambiental das dragagens.;N1;0
6559;1449;A instalação portuária nunca teve passivos ambientais ou teve passivos ambientais que já foram remediados.;N5;1,235339539
6560;1449;A instalação portuária realizou remediação parcial dos passivos existentes ou a remediação ainda está em curso.;N4;0,684828835
6561;1449;A instalação portuária realizou diagnóstico dos passivos ambientais, mas não tomou medidas de remediação.;N3;0,216403458
6562;1449;A instalação portuária contratou estudos ou tem diagnóstico de passivos em curso.;N2;0,072183342
6563;1449;A instalação portuária nunca fez diagnóstico de passivos ambientais.;N1;0
6564;1450;Atende todas as opções.;N5;1,101805927
6565;1450;Atende três das opções listadas (especificar).;N4;0,368436802
6566;1450;Atende duas das opções listadas (especificar).;N3;0,170998791
6567;1450;Atende uma das opções listadas (especificar).;N2;0,059214839
6568;1450;Não atende nenhuma das opções listadas.;N1;0
6570;1451;Foi feito inventário (ou mapa) com identificação das fontes e respectivos níveis de ruído e há monitoramento periódico.;N3;0,367268642
6571;1451;Foi feito inventário (ou mapa) com identificação das fontes e respectivos níveis de ruído, mas não há monitoramento periódico.;N2;0,106424822
6572;1451;Não atende a nenhuma das opções anteriores.;N1;0
6574;1452;A instalação portuária atende todas as opções listadas.;N5;7,964752347
6575;1452;Atende três das opções listadas.;N4;4,589011489
6576;1452;Atende duas das opções listadas.;N3;2,52059979
6577;1452;Atende uma das opções listadas.;N2;0,72946978
6578;1452;Não atende nenhuma das opções listadas.;N1;0
6579;1453;"Foi realizado o levantamento da biota (terrestre e aquática) E há  monitoramento de bioindicadores. ";N3;0,978458281
6580;1453;Foi realizado o levantamento da biota (terrestre e aquática) OU há monitoramento de bioindicadores.;N2;0,25785511
6581;1453;Não atende a nenhuma das opções anteriores.;N1;0
6582;1454;Atende N4 e ao final de cada trimestre, a instalação entrega à autoridade sanitária relatório descritivo das atividades de controle e monitoramento realizadas.;N5;2,935374843
6583;1454;A instalação portuária mantém atualizado o programa.;N4;1,691260229
6584;1454;A instalação portuária implantou o programa.;N3;0,928956092
6585;1454;A instalação portuária elaborou o programa, porém ainda não o implantou.;N2;0,268842915
6586;1454;A instalação portuária não elaborou o programa.;N1;0
6587;1455;Atende N2, realiza monitoramentos regulares e, em caso de presença de espécie exóticas/invasoras,  adota ações de controle e combate desses organismos.;N3;0,978458281
6588;1455;A instalação portuária já realizou levantamento de espécies aquáticas, procurando inclusive verificar a ocorrência de espécies exóticas/invasoras.;N2;0,356035959
6589;1455;A instalação ainda não realizou levantamento de espécies aquáticas exóticas/invasoras.;N1;0
6590;1456;A instalação portuária possui licença de operação válida e vigente, ou apresentou solicitação de renovação da licença dentro do prazo previsto pelo órgão ambiental.;N3;15,07224371
6591;1456;A instalação portuária ainda não possui licença de operação vigente, mas existe processo de licenciamento para regularização (o empreendedor já entregou ao órgão licenciador o estudo ambiental exigido e está aguardando manifestação do mesmo), ou entrou com pedido de renovação fora do prazo previsto.;N2;2,897060654
6592;1456;A instalação portuária não possui licença de operação vigente, nem entrou com pedido de licenciamento ou renovação.;N1;0
6597;1457;Acima do número mínimo de profissionais no Núcleo Ambiental.;N3;4,23787275
6598;1457;Possui o número mínimo de profissionais no Núcleo Ambiental.;N2;2,305298777
6599;1457;Abaixo do número mínimo de profissionais no Núcleo Ambiental.;N1;0
6600;1458;Mais de 50% dos funcionários participaram de treinamento/capacitação.;N3;2,090917833
6601;1458;Menos de 50% dos funcionários participaram de treinamento/capacitação.;N2;0,551023849
6602;1458;Não participaram de treinamento/capacitação ou não foi atingido o mínimo de horas/pessoa.;N1;0
6604;1459;A auditoria ambiental foi realizada até dois anos atrás.;N3;6,440173894
6605;1459;A auditoria ambiental foi realizada há mais de dois anos atrás.;N2;1,697192185
6606;1459;Nunca foi realizada auditoria ambiental.;N1;0
6607;1460;Existe banco de dados com atualização mínima semestral.;N3;1,965496457
6608;1460;Existe banco de dados, mas não há atualização mínima semestral.;N2;0,517971297
6609;1460;Não existe banco de dados.;N1;0
6610;1461;Atende todos os planos/programas listados abaixo.;N5;13,15768092
6611;1461;Atende quatro dos planos/programas listados abaixo.;N4;7,580995149
